ID,dep,life,years_waiting,obesity,alco,work_hours,crim,reject_chance,tid
0-8958247-138051,3,1,3,1,-1,1,-3,-2,8958247
0-7365057-138051,0,0,0,0,-3,0,0,3,7365057
0-8914118-138051,3,3,2,3,-2,-2,2,1,8914118
0-2997813-138051,1,3,2,0,0,0,-1,-1,2997813
0-4869845-138051,0,2,3,0,-1,1,-2,-2,4869845
0-2946285-138051,3,3,1,0,0,2,-3,-1,2946285
0-10149429-138051,1,3,3,0,1,0,-1,3,10149429
0-8645877-138051,2,2,-2,-1,-1,2,-2,2,8645877
0-6440698-138051,1,3,1,0,-1,2,0,-2,6440698
0-4571054-138051,2,3,1,-1,-1,1,-3,2,4571054
0-2020947-138051,1,3,3,1,-1,1,-1,3,2020947
0-2471496-138051,0,3,1,0,0,0,0,3,2471496
0-8789233-138051,0,2,3,0,-1,0,0,-1,8789233
0-9296835-138051,2,2,1,-3,-1,0,-3,2,9296835
0-10578041-138051,2,3,-1,-1,2,2,3,2,10578041
0-10019058-138051,0,3,-2,0,-1,0,0,-3,10019058
0-8870703-138051,3,0,1,3,2,1,-1,1,8870703
0-10425276-138051,2,2,1,-1,-1,1,-1,2,10425276
0-4997095-138051,0,3,1,-3,0,1,0,-3,4997095
0-8652542-138051,1,2,3,2,1,2,2,2,8652542
0-10535459-138051,1,2,1,-1,-1,1,-1,2,10535459
0-8870790-138051,2,1,2,2,2,3,3,2,8870790
0-8870831-138051,0,0,1,2,-1,2,1,3,8870831
0-2532728-138051,3,3,2,2,-1,1,-1,1,2532728
0-10535457-138051,1,2,1,1,-1,2,1,2,10535457
0-10413438-138051,2,1,1,-1,1,1,1,2,10413438
0-4504205-138051,1,1,0,0,0,0,0,3,4504205
0-10524593-138051,0,1,2,1,1,1,1,1,10524593
0-2851939-138051,0,3,3,0,0,2,0,3,2851939
0-10532026-138051,1,1,1,1,2,1,-1,1,10532026
0-4587263-138051,0,1,3,-1,-1,0,0,-1,4587263
0-10531956-138051,1,1,2,-1,-1,2,-1,2,10531956
0-8633139-138051,1,3,2,1,0,0,0,3,8633139
0-10426786-138051,2,2,1,-1,0,1,1,1,10426786
0-10426718-138051,2,1,1,1,1,2,-1,1,10426718
0-2552927-138051,2,3,1,-1,-1,1,-1,-3,2552927
0-8870868-138051,1,1,3,3,3,1,1,2,8870868
0-8780774-138051,2,3,0,0,2,0,0,2,8780774
0-7970060-138051,3,3,3,0,-1,0,-2,3,7970060
0-2763432-138051,3,3,3,-2,-2,-2,1,1,2763432
0-5848005-138051,2,3,2,0,0,3,-3,-3,5848005
0-10657979-138051,1,2,2,0,0,0,-1,-1,10657979
0-452845-138051,3,3,0,0,0,0,0,-3,452845
0-10451579-138051,0,1,1,0,-1,0,-3,-2,10451579
0-2663344-138051,0,-3,3,0,-3,0,-3,-3,2663344
0-2863673-138051,0,2,2,-1,2,1,-2,-3,2863673
0-2944256-138051,2,3,1,-1,-1,2,-1,-2,2944256
0-3031154-138051,2,2,1,0,-1,1,-1,-1,3031154
0-5119279-138051,1,3,0,-1,-1,1,-1,-2,5119279
0-9175654-138051,-1,3,1,-2,-3,2,-3,-2,9175654
0-2537108-138051,-1,2,2,0,0,1,0,-2,2537108
0-9391819-138051,2,2,1,2,3,1,0,3,9391819
0-6941421-138051,2,3,3,-3,-3,0,-3,3,6941421
0-5901253-138051,1,2,1,-1,-1,0,-1,-2,5901253
0-4917092-138051,1,2,3,0,-2,0,-3,-3,4917092
0-10662585-138051,2,2,1,-2,-2,1,3,2,10662585
0-8944995-138051,3,3,1,-1,-1,1,0,-2,8944995
0-10415549-138051,0,2,3,0,-1,0,-3,-3,10415549
0-7283124-138051,3,2,3,-1,-1,1,-3,-2,7283124
0-10648539-138051,2,1,3,0,-1,1,-2,-1,10648539
0-9956055-138051,2,2,2,-1,1,0,1,3,9956055
0-9313260-138051,2,3,0,-3,-3,2,-3,-3,9313260
0-8280802-138051,2,2,1,-1,-1,0,-1,-2,8280802
0-1595177-138051,3,3,1,0,-3,3,0,3,1595177
0-10723416-138051,3,3,1,0,-1,0,-3,-2,10723416
0-1765023-138051,1,3,3,0,-1,1,-2,-2,1765023
0-3278926-138051,2,3,1,1,-1,0,1,-3,3278926
0-9316816-138051,3,2,2,0,0,0,-1,-2,9316816
0-7143080-138051,3,3,-1,0,-2,2,2,2,7143080
0-10504527-138051,1,3,1,0,0,0,0,0,10504527
0-2997888-138051,3,2,1,-2,0,1,-2,-3,2997888
0-10694192-138051,3,2,2,0,-1,2,-2,-1,10694192
0-9284350-138051,2,3,1,1,1,1,3,2,9284350
0-10741564-138051,1,2,0,3,2,2,2,3,10741564
0-5176869-138051,1,2,1,0,0,0,0,1,5176869
0-5526231-138051,1,3,3,0,0,0,-3,-2,5526231
0-2659038-138051,0,3,1,1,2,0,2,3,2659038
0-5605684-138051,2,3,2,0,-2,-1,-3,3,5605684
0-4269757-138051,0,2,1,-2,-2,2,-1,-3,4269757
0-9381220-138051,1,3,0,0,-1,2,-2,-2,9381220
0-9239686-138051,2,3,-1,-1,-3,-3,0,3,9239686
0-2703224-138051,1,1,1,0,-3,0,-2,-2,2703224
0-9389859-138051,1,3,0,0,3,1,0,-3,9389859
0-9646653-138051,1,2,1,1,0,0,-1,-2,9646653
0-10746111-138051,2,3,2,2,2,2,0,3,10746111
0-9027509-138051,0,2,3,0,-1,0,0,-2,9027509
0-9390595-138051,2,3,0,1,-1,1,-2,-2,9390595
0-10750087-138051,3,3,1,-1,-1,1,0,-3,10750087
0-10662947-138051,2,-3,0,0,0,0,0,3,10662947
0-6726697-138051,1,1,1,0,0,0,0,-3,6726697
0-9295514-138051,-1,3,3,-3,-2,-1,-3,-1,9295514
0-10708495-138051,3,2,2,0,1,0,0,-1,10708495
0-9390607-138051,1,3,1,1,-1,1,-1,2,9390607
0-6132104-138051,2,3,1,0,-3,0,-3,-3,6132104
0-2506942-138051,3,3,1,0,0,0,0,-3,2506942
0-10021116-138051,2,1,1,-2,-3,1,-3,-3,10021116
0-9393295-138051,2,3,0,3,0,1,-1,3,9393295
0-4120369-138051,1,2,2,1,-2,0,-2,-2,4120369
0-9541582-138051,1,1,0,0,-1,0,-2,-3,9541582
0-10720062-138051,1,2,3,0,0,2,-1,-2,10720062
0-10604942-138051,3,2,3,3,3,2,3,3,10604942
0-4670377-138051,1,2,3,0,-1,0,-1,-1,4670377
0-9585552-138051,2,3,1,-1,-1,2,-1,-3,9585552
0-9582404-138051,2,3,3,-1,-1,1,-1,-3,9582404
0-9582391-138051,2,2,0,-1,-1,1,-2,-2,9582391
0-8963732-138051,2,1,3,-3,-1,1,-3,2,8963732
0-4190054-138051,2,2,0,0,1,2,0,2,4190054
0-10754450-138051,2,2,1,2,3,2,1,2,10754450
0-10747712-138051,2,3,0,-2,-2,0,-1,-2,10747712
